#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types
"Candida auris",,"""B11790"",""SRS3280355""",,"PDT000585570.1","2019-09-13T14:30:14Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",0,13,"SAMN09111965",,,
"Candida auris",,"""B12303"",""SRS3280356""",,"PDT000585571.1","2019-09-13T14:30:15Z","Colombia: Bogota","Sink","environmental/other","PDS000050697.4",2,2,"SAMN09111929",,,
"Candida auris",,"""B11780"",""SRS3280354""",,"PDT000585572.1","2019-09-13T14:30:15Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",3,8,"SAMN09111973",,,
"Candida auris",,"""B11781"",""SRS3280385""",,"PDT000585574.1","2019-09-13T14:30:15Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",13,14,"SAMN09111972",,,
"Candida auris",,"""B12333"",""SRS3280352""",,"PDT000585575.1","2019-09-13T14:30:15Z","Colombia: Barranquilla","Right armpit","clinical","PDS000050697.4",1,7,"SAMN09111900",,,
"Candida auris",,"""B12316"",""SRS3280377""",,"PDT000585576.1","2019-09-13T14:30:16Z","Colombia: Bogota","Right groin","clinical","PDS000050697.4",0,0,"SAMN09111917",,,
"Candida auris",,"""B11778"",""SRS3280351""",,"PDT000585577.1","2019-09-13T14:30:16Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",1,6,"SAMN09111975",,,
"Candida auris",,"""B12329"",""SRS3280350""",,"PDT000585578.1","2019-09-13T14:30:16Z","Colombia: Cartagena","Groin composite","clinical","PDS000050697.4",0,0,"SAMN09111904",,,
"Candida auris",,"""B12296"",""SRS3280349""",,"PDT000585579.1","2019-09-13T14:30:16Z","Colombia: Bogota","Mattress","environmental/other","PDS000050697.4",8,10,"SAMN09111936",,,
"Candida auris",,"""B11850"",""SRS3280348""",,"PDT000585580.1","2019-09-13T14:30:16Z","Colombia: Bogota","blood","clinical","PDS000050697.4",2,3,"SAMN09111948",,,
"Candida auris",,"""B11851"",""SRS3280347""",,"PDT000585581.1","2019-09-13T14:30:16Z","Colombia: Bogota","blood","clinical","PDS000050697.4",3,8,"SAMN09111947",,,
"Candida auris",,"""B11788"",""SRS3280346""",,"PDT000585582.1","2019-09-13T14:30:17Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",25,28,"SAMN09111967",,,
"Candida auris",,"""B12290"",""SRS3280345""",,"PDT000585583.1","2019-09-13T14:30:17Z","Colombia: Bogota","Bed rail","environmental/other","PDS000050697.4",1,3,"SAMN09111942",,,
"Candida auris",,"""B12298"",""SRS3280344""",,"PDT000585584.1","2019-09-13T14:30:17Z","Colombia: Bogota","Bedpan","environmental/other","PDS000050697.4",8,15,"SAMN09111934",,,
"Candida auris",,"""B12304"",""SRS3280343""",,"PDT000585585.1","2019-09-13T14:30:17Z","Colombia: Bogota","Toilet","environmental/other","PDS000050697.4",0,0,"SAMN09111928",,,
"Candida auris",,"""B11849"",""SRS3280341""",,"PDT000585586.1","2019-09-13T14:30:17Z","Colombia: Bogota","blood","clinical","PDS000050697.4",0,1,"SAMN09111949",,,
"Candida auris",,"""B12325"",""SRS3280340""",,"PDT000585587.1","2019-09-13T14:30:18Z","Colombia: Cartagena","Bed rails","environmental/other","PDS000050697.4",0,5,"SAMN09111908",,,
"Candida auris",,"""B12287"",""SRS3280339""",,"PDT000585588.1","2019-09-13T14:30:18Z","Colombia: Bogota","Floor","environmental/other","PDS000050697.4",3,6,"SAMN09111944",,,
"Candida auris",,"""B12335"",""SRS3280342""",,"PDT000585589.1","2019-09-13T14:30:18Z","Colombia: Barranquilla","Left ear","clinical","PDS000050697.4",0,8,"SAMN09111899",,,
"Candida auris",,"""B12324"",""SRS3280338""",,"PDT000585590.1","2019-09-13T14:30:18Z","Colombia: Cartagena","Body cables","environmental/other","PDS000050697.4",1,1,"SAMN09111909",,,
"Candida auris",,"""B12326"",""SRS3280337""",,"PDT000585591.1","2019-09-13T14:30:18Z","Colombia: Cartagena","Stretcher","environmental/other","PDS000050697.4",0,5,"SAMN09111907",,,
"Candida auris",,"""B12337"",""SRS3280336""",,"PDT000585592.1","2019-09-13T14:30:18Z","Colombia: Barranquilla","Left armpit","clinical","PDS000050697.4",0,8,"SAMN09111897",,,
"Candida auris",,"""B12307"",""SRS3280335""",,"PDT000585593.1","2019-09-13T14:30:18Z","Colombia: Bogota","Mop bucket","environmental/other","PDS000050697.4",3,3,"SAMN09111925",,,
"Candida auris",,"""B12318"",""SRS3280334""",,"PDT000585594.1","2019-09-13T14:30:19Z","Colombia: Cartagena","Equipment","environmental/other","PDS000050697.4",0,5,"SAMN09111915",,,
"Candida auris",,"""B11856"",""SRS3280333""",,"PDT000585595.1","2019-09-13T14:30:19Z","Colombia: Bogota","blood","clinical","PDS000050697.4",5,8,"SAMN09111945",,,
"Candida auris",,"""B11794"",""SRS3280332""",,"PDT000585596.1","2019-09-13T14:30:19Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",3,25,"SAMN09111962",,,
"Candida auris",,"""B11783"",""SRS3280331""",,"PDT000585597.1","2019-09-13T14:30:19Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",14,29,"SAMN09111970",,,
"Candida auris",,"""B11779"",""SRS3280330""",,"PDT000585598.1","2019-09-13T14:30:19Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",3,5,"SAMN09111974",,,
"Candida auris",,"""B12292"",""SRS3280329""",,"PDT000585599.1","2019-09-13T14:30:19Z","Colombia: Bogota","Closet","environmental/other","PDS000050697.4",3,3,"SAMN09111940",,,
"Candida auris",,"""B12289"",""SRS3280328""",,"PDT000585600.1","2019-09-13T14:30:20Z","Colombia: Bogota","Floor","environmental/other","PDS000050697.4",0,2,"SAMN09111943",,,
"Candida auris",,"""B12321"",""SRS3280327""",,"PDT000585601.1","2019-09-13T14:30:20Z","Colombia: Cartagena","Equipment","environmental/other","PDS000050697.4",1,6,"SAMN09111912",,,
"Candida auris",,"""B12308"",""SRS3280326""",,"PDT000585602.1","2019-09-13T14:30:20Z","Colombia: Bogota","Floor","environmental/other","PDS000050697.4",15,1,"SAMN09111924",,,
"Candida auris",,"""B11795"",""SRS3280325""",,"PDT000585603.1","2019-09-13T14:30:20Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",1,26,"SAMN09111961",,,
"Candida auris",,"""B11846"",""SRS3280324""",,"PDT000585605.1","2019-09-13T14:30:21Z","Colombia: Cartagena","blood","clinical","PDS000050697.4",9,12,"SAMN09111952",,,
"Candida auris",,"""B11848"",""SRS3280322""",,"PDT000585606.1","2019-09-13T14:30:21Z","Colombia: Cartagena","blood","clinical","PDS000050697.4",1,1,"SAMN09111950",,,
"Candida auris",,"""B11847"",""SRS3280321""",,"PDT000585607.1","2019-09-13T14:30:21Z","Colombia: Cartagena","blood","clinical","PDS000050697.4",3,4,"SAMN09111951",,,
"Candida auris",,"""B11782"",""SRS3280320""",,"PDT000585608.1","2019-09-13T14:30:21Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",1,7,"SAMN09111971",,,
"Candida auris",,"""B12312"",""SRS3280319""",,"PDT000585609.1","2019-09-13T14:30:21Z","Colombia: Bogota","Bedpan","environmental/other","PDS000050697.4",2,2,"SAMN09111920",,,
"Candida auris",,"""B12300"",""SRS3280318""",,"PDT000585610.1","2019-09-13T14:30:22Z","Colombia: Bogota","TV control","environmental/other","PDS000050697.4",2,2,"SAMN09111932",,,
"Candida auris",,"""B11791"",""SRS3280317""",,"PDT000585611.1","2019-09-13T14:30:22Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",7,28,"SAMN09111964",,,
"Candida auris",,"""B11793"",""SRS3280316""",,"PDT000585612.1","2019-09-13T14:30:22Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",5,26,"SAMN09111963",,,
"Candida auris",,"""B12322"",""SRS3280315""",,"PDT000585613.1","2019-09-13T14:30:22Z","Colombia: Cartagena","Bed rail","environmental/other","PDS000050697.4",0,0,"SAMN09111911",,,
"Candida auris",,"""B12330"",""SRS3280314""",,"PDT000585614.1","2019-09-13T14:30:22Z","Colombia: Cartagena","Hands","clinical","PDS000050697.4",0,0,"SAMN09111903",,,
"Candida auris",,"""B12297"",""SRS3280313""",,"PDT000585615.1","2019-09-13T14:30:22Z","Colombia: Bogota","Chair. towel","environmental/other","PDS000050697.4",6,6,"SAMN09111935",,,
"Candida auris",,"""B11805"",""SRS3280312""",,"PDT000585616.1","2019-09-13T14:30:23Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",3,6,"SAMN09111956",,,
"Candida auris",,"""B11802"",""SRS3280310""",,"PDT000585618.1","2019-09-13T14:30:23Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",6,27,"SAMN09111957",,,
"Candida auris",,"""B11844"",""SRS3280309""",,"PDT000585619.1","2019-09-13T14:30:23Z","Colombia: Cartagena","blood","clinical","PDS000050697.4",3,3,"SAMN09111953",,,
"Candida auris",,"""B12320"",""SRS3280308""",,"PDT000585620.1","2019-09-13T14:30:23Z","Colombia: Cartagena","Bed","environmental/other","PDS000050697.4",1,6,"SAMN09111913",,,
"Candida auris",,"""B11807"",""SRS3280307""",,"PDT000585621.1","2019-09-13T14:30:23Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",0,13,"SAMN09111954",,,
"Candida auris",,"""B12319"",""SRS3280306""",,"PDT000585622.1","2019-09-13T14:30:23Z","Colombia: Cartagena","Body cables","environmental/other","PDS000050697.4",1,7,"SAMN09111914",,,
"Candida auris",,"""B11789"",""SRS3280305""",,"PDT000585623.1","2019-09-13T14:30:24Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",17,20,"SAMN09111966",,,
"Candida auris",,"""B12284"",""SRS5662985""",,"PDT000766905.1","2020-06-15T22:13:52Z","Colombia: Bogota","axilla swab","clinical","PDS000050697.4",0,1,"SAMN13294135",,,
"Candida auris",,"""B12279"",""SRS5662984""",,"PDT000766906.1","2020-06-15T22:13:52Z","Colombia: Bogota","rectum swab","clinical","PDS000050697.4",0,0,"SAMN13294136",,,
"Candida auris",,"""B12277"",""SRS5662983""",,"PDT000766907.1","2020-06-15T22:13:52Z","Colombia: Santa Marta","blood","clinical","PDS000050697.4",9,28,"SAMN13294137",,,
"Candida auris",,"""B12272"",""SRS5662982""",,"PDT000766908.1","2020-06-15T22:13:52Z","Colombia: Santa Marta","blood","clinical","PDS000050697.4",9,19,"SAMN13294138",,,
"Candida auris",,"""B12244"",""SRS5662981""",,"PDT000766909.1","2020-06-15T22:13:53Z","Colombia: Bogota","environmental","environmental/other","PDS000050697.4",0,2,"SAMN13294139",,,
"Candida auris",,"""B11855"",""SRS5662923""",,"PDT000766977.1","2020-06-15T22:14:11Z","Colombia: Bogota","secretion","clinical","PDS000050697.4",1,2,"SAMN13294195",,,
"Candida auris",,"""B11854"",""SRS5662922""",,"PDT000766978.1","2020-06-15T22:14:12Z","Colombia: Bogota","blood","clinical","PDS000050697.4",6,0,"SAMN13294196",,,
"Candida auris",,"""B11796"",""SRS5662921""",,"PDT000766979.1","2020-06-15T22:14:12Z","Colombia: Barranquilla","blood","clinical","PDS000050697.4",9,29,"SAMN13294197",,,
"Candida auris","B11244","""B11244"",""CDC_B11244"",""SRS1558426""",,"PDT000585040.1","2019-09-12T19:33:27Z","Venezuela","blood","clinical","PDS000050609.7",0,,"SAMN05379620",,,
"Candida auris","B11246","""B11246"",""CDC_B11246"",""SRS1558428""",,"PDT000585042.1","2019-09-12T19:33:28Z","Venezuela","blood","clinical","PDS000050609.7",1,,"SAMN05379622",,,
"Candida auris","B11247","""B11247"",""CDC_B11247"",""SRS1558429""",,"PDT000585043.1","2019-09-12T19:33:29Z","Venezuela","blood","clinical","PDS000050609.7",1,,"SAMN05379623",,,
"Candida auris",,"""B12847"",""SRS3826181""",,"PDT000585909.1","2019-09-13T14:31:14Z","USA: Florida","urine","clinical","PDS000050609.7",0,,"SAMN10139260",,,
"Candida auris","B11243","""B11243"",""CDC_B11243"",""SRS1558425""",,"PDT000587472.1","2018-03-23T16:09:23Z","Venezuela","blood","clinical","PDS000050609.7",2,,"SAMN05379619","GCA_003014415.1",,
"Candida auris","B11245","""B11245"",""CDC_B11245"",""SRS1558427""",,"PDT000587476.1","2019-09-05T12:20:04Z","Venezuela","blood","clinical","PDS000050609.7",0,,"SAMN05379621","GCA_008275145.1",,
"Candida auris",,"""B12169"",""SRS5663050""",,"PDT000766835.1","2020-06-15T22:13:33Z","Venezuela: Maracaibo","CSF","clinical","PDS000050609.7",1,,"SAMN13294153",,,
"Candida auris",,"""B12168"",""SRS5663049""",,"PDT000766836.1","2020-06-15T22:13:33Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",2,,"SAMN13294154",,,
"Candida auris",,"""B12167"",""SRS5663048""",,"PDT000766837.1","2020-06-15T22:13:33Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",1,,"SAMN13294155",,,
"Candida auris",,"""B12166"",""SRS5663047""",,"PDT000766838.1","2020-06-15T22:13:34Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",0,,"SAMN13294156",,,
"Candida auris",,"""B12165"",""SRS5663046""",,"PDT000766839.1","2020-06-15T22:13:34Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",0,,"SAMN13294157",,,
"Candida auris",,"""B12162"",""SRS5663045""",,"PDT000766840.1","2020-06-15T22:13:34Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",0,,"SAMN13294158",,,
"Candida auris",,"""B12161"",""SRS5663044""",,"PDT000766841.1","2020-06-15T22:13:34Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",3,,"SAMN13294159",,,
"Candida auris",,"""B12160"",""SRS5663043""",,"PDT000766842.1","2020-06-15T22:13:35Z","Venezuela: Maracaibo","CSF","clinical","PDS000050609.7",1,,"SAMN13294160",,,
"Candida auris",,"""B12157"",""SRS5663042""",,"PDT000766843.1","2020-06-15T22:13:35Z","Venezuela: Maracaibo","CSF","clinical","PDS000050609.7",1,,"SAMN13294161",,,
"Candida auris",,"""B12155"",""SRS5663041""",,"PDT000766844.1","2020-06-15T22:13:35Z","Venezuela: Maracaibo",,"clinical","PDS000050609.7",0,,"SAMN13294162",,,
"Candida auris",,"""B12154"",""SRS5663040""",,"PDT000766845.1","2020-06-15T22:13:36Z","Venezuela: Maracaibo","Catheter Tip","clinical","PDS000050609.7",0,,"SAMN13294163",,,
"Candida auris",,"""B12153"",""SRS5663039""",,"PDT000766846.1","2020-06-15T22:13:36Z","Venezuela: Maracaibo","CSF","clinical","PDS000050609.7",2,,"SAMN13294164",,,
"Candida auris",,"""B12150"",""SRS5663038""",,"PDT000766847.1","2020-06-15T22:13:36Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",0,,"SAMN13294165",,,
"Candida auris",,"""B12148"",""SRS5663037""",,"PDT000766848.1","2020-06-15T22:13:36Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",1,,"SAMN13294166",,,
"Candida auris",,"""B12146"",""SRS5663036""",,"PDT000766849.1","2020-06-15T22:13:37Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",0,,"SAMN13294167",,,
"Candida auris",,"""B12144"",""SRS5663035""",,"PDT000766850.1","2020-06-15T22:13:37Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",0,,"SAMN13294168",,,
"Candida auris",,"""B12142"",""SRS5663034""",,"PDT000766851.1","2020-06-15T22:13:37Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",1,,"SAMN13294169",,,
"Candida auris",,"""B12138"",""SRS5663033""",,"PDT000766852.1","2020-06-15T22:13:37Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",2,,"SAMN13294170",,,
"Candida auris",,"""B12137"",""SRS5663032""",,"PDT000766853.1","2020-06-15T22:13:38Z","Venezuela: Maracaibo","tracheal aspirate","clinical","PDS000050609.7",1,,"SAMN13294171",,,
"Candida auris",,"""B12136"",""SRS5663006""",,"PDT000766854.1","2020-06-15T22:13:38Z","Venezuela: Maracaibo","other","clinical","PDS000050609.7",0,,"SAMN13294172",,,
"Candida auris",,"""B12135"",""SRS5663005""",,"PDT000766880.1","2020-06-15T22:13:45Z","Venezuela: Maracaibo","wound","clinical","PDS000050609.7",0,,"SAMN13294173",,,
"Candida auris",,"""B12134"",""SRS5663004""",,"PDT000766881.1","2020-06-15T22:13:45Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",0,,"SAMN13294174",,,
"Candida auris",,"""B12133"",""SRS5663003""",,"PDT000766882.1","2020-06-15T22:13:45Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",0,,"SAMN13294175",,,
"Candida auris",,"""B12131"",""SRS5663002""",,"PDT000766883.1","2020-06-15T22:13:46Z","Venezuela: Maracaibo","tracheal aspirate","clinical","PDS000050609.7",0,,"SAMN13294176",,,
"Candida auris",,"""B12130"",""SRS5663001""",,"PDT000766884.1","2020-06-15T22:13:46Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",0,,"SAMN13294177",,,
"Candida auris",,"""B12125"",""SRS5663000""",,"PDT000766885.1","2020-06-15T22:13:46Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",8,,"SAMN13294178",,,
"Candida auris",,"""B12124"",""SRS5662999""",,"PDT000766886.1","2020-06-15T22:13:46Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",3,,"SAMN13294179",,,
"Candida auris",,"""B12123"",""SRS5662998""",,"PDT000766887.1","2020-06-15T22:13:47Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",3,,"SAMN13294180",,,
"Candida auris",,"""B12122"",""SRS5662997""",,"PDT000766888.1","2020-06-15T22:13:47Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",4,,"SAMN13294181",,,
"Candida auris",,"""B12121"",""SRS5662996""",,"PDT000766889.1","2020-06-15T22:13:47Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",9,,"SAMN13294182",,,
"Candida auris",,"""B12120"",""SRS5662995""",,"PDT000766890.1","2020-06-15T22:13:48Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",5,,"SAMN13294183",,,
"Candida auris",,"""B12119"",""SRS5662994""",,"PDT000766891.1","2020-06-15T22:13:48Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",10,,"SAMN13294184",,,
"Candida auris",,"""B12118"",""SRS5662993""",,"PDT000766892.1","2020-06-15T22:13:48Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",2,,"SAMN13294185",,,
"Candida auris",,"""B12116"",""SRS5662992""",,"PDT000766893.1","2020-06-15T22:13:48Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",6,,"SAMN13294186",,,
"Candida auris",,"""B12114"",""SRS5662991""",,"PDT000766894.1","2020-06-15T22:13:49Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",6,,"SAMN13294187",,,
"Candida auris",,"""B12188"",""SRS5662980""",,"PDT000766910.1","2020-06-15T22:13:53Z","Venezuela: Caracas","Catheter Tip","clinical","PDS000050609.7",1,,"SAMN13294140",,,
"Candida auris",,"""B12187"",""SRS5662979""",,"PDT000766911.1","2020-06-15T22:13:53Z","Venezuela: Caracas","blood","clinical","PDS000050609.7",1,,"SAMN13294141",,,
"Candida auris",,"""B12186"",""SRS5662978""",,"PDT000766912.1","2020-06-15T22:13:53Z","Venezuela: Caracas","Catheter Tip","clinical","PDS000050609.7",7,,"SAMN13294142",,,
"Candida auris",,"""B12183"",""SRS5662977""",,"PDT000766913.1","2020-06-15T22:13:54Z","Venezuela: Maracaibo","tracheal aspirate","clinical","PDS000050609.7",0,,"SAMN13294143",,,
"Candida auris",,"""B12182"",""SRS5662976""",,"PDT000766914.1","2020-06-15T22:13:54Z","Venezuela: Maracaibo","blood","clinical","PDS000050609.7",2,,"SAMN13294144",,,
"Candida auris",,"""B12181"",""SRS5662975""",,"PDT000766915.1","2020-06-15T22:13:54Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",0,,"SAMN13294145",,,
"Candida auris",,"""B12179"",""SRS5662974""",,"PDT000766916.1","2020-06-15T22:13:54Z","Venezuela: Maracaibo","CSF","clinical","PDS000050609.7",1,,"SAMN13294146",,,
"Candida auris",,"""B12178"",""SRS5662973""",,"PDT000766917.1","2020-06-15T22:13:55Z","Venezuela: Maracaibo","CSF","clinical","PDS000050609.7",4,,"SAMN13294147",,,
"Candida auris",,"""B12177"",""SRS5662972""",,"PDT000766918.1","2020-06-15T22:13:55Z","Venezuela: Maracaibo","Catheter Tip","clinical","PDS000050609.7",0,,"SAMN13294148",,,
"Candida auris",,"""B12176"",""SRS5662971""",,"PDT000766919.1","2020-06-15T22:13:55Z","Venezuela: Maracaibo","Catheter Tip","clinical","PDS000050609.7",0,,"SAMN13294149",,,
"Candida auris",,"""B12175"",""SRS5662970""",,"PDT000766920.1","2020-06-15T22:13:56Z","Venezuela: Maracaibo","urine","clinical","PDS000050609.7",4,,"SAMN13294150",,,
"Candida auris",,"""B12172"",""SRS5662969""",,"PDT000766921.1","2020-06-15T22:13:56Z","Venezuela: Maracaibo","tracheal aspirate","clinical","PDS000050609.7",1,,"SAMN13294151",,,
"Candida auris",,"""B12171"",""SRS5663051""",,"PDT000766923.1","2020-06-15T22:13:56Z","Venezuela: Maracaibo","CSF","clinical","PDS000050609.7",0,,"SAMN13294152",,,
"Candida auris","CA27","""CA27"",""NU_CA27-AR-0386"",""SRS7124117""",,"PDT000942717.1","2021-01-28T15:20:56Z","Venezuela",,"clinical","PDS000050609.7",0,,"SAMN15689566",,,
"Candida auris","CA26","""CA26"",""NU_CA26-AR-0385"",""SRS7124116""",,"PDT000942718.1","2021-01-28T15:20:56Z","Venezuela",,"clinical","PDS000050609.7",0,,"SAMN15689565",,,
"Candida auris","B12847","""B12847"",""SRS7485700""",,"PDT001097383.1","2021-07-28T10:40:23Z","USA: Florida","urine","clinical","PDS000050609.7",0,,"SAMN16376912",,,
"Candida auris",,"""B12493"",""SRS3826374""",,"PDT000585631.1","2019-09-13T14:30:25Z","USA: Massachusetts","Bronchus","clinical","PDS000050696.2",1,,"SAMN10139374",,,
"Candida auris",,"""B12077"",""SRS3855158""",,"PDT000585633.1","2019-09-13T14:30:25Z","USA: Illinois","feces","clinical","PDS000050696.2",1,,"SAMN10139526",,,
